Word,Time_s,F0_Hz
your,--undefined--,--undefined--
your,--undefined--,--undefined--
your,--undefined--,--undefined--
your,--undefined--,--undefined--
your,--undefined--,--undefined--
your,0.722093,218.513611
your,0.727265,219.363026
your,0.732438,218.632257
your,0.73761,209.164298
your,0.742782,199.840457
your,0.747955,203.03428
your,0.753127,206.583032
your,0.7583,209.568161
your,0.763472,211.244727
your,0.768645,212.686169
your,0.773817,213.440154
your,0.778989,213.496174
your,0.784162,213.448658
your,0.789334,210.450094
your,0.794507,204.493538
your,0.799679,204.047471
your,0.804851,204.851136
your,0.810024,203.418718
your,0.815196,201.942297
your,0.820369,202.325122
your,0.825541,201.308076
your,0.830714,200.14505
your,0.835886,199.560442
your,0.841058,198.849838
your,0.846231,198.876573
your,0.851403,198.405469
your,0.856576,198.615415
your,0.861748,198.910299
your,0.86692,199.265729
your,0.872093,199.406662
your,0.877265,200.138623
your,0.882438,201.54488
your,0.88761,203.250647
your,0.892782,205.598842
your,0.897955,206.416489
your,0.903127,207.123148
your,0.9083,205.686791
your,0.913472,201.2047
your,0.918645,203.799234
your,0.923817,206.060123
your,0.928989,201.881092
your,0.934162,196.963913
your,0.939334,199.384215
your,0.944507,202.534985
your,0.949679,203.840554
your,0.954851,202.876593
your,0.960024,200.243645
your,0.965196,202.784059
your,0.970369,204.893082
your,0.975541,206.032593
your,0.980714,201.398366
your,0.985886,197.088554
your,0.991058,207.220998
your,0.996231,200.836798
your,1.001403,202.65177
good,1.005301,211.026905
good,1.010473,192.824651
good,1.015646,199.327744
good,1.020818,205.444692
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,1.057025,243.689702
good,1.062198,239.66371
good,1.06737,234.94756
good,1.072542,235.113941
good,1.077715,234.751378
good,1.082887,233.590362
good,1.08806,234.620132
good,1.093232,236.600156
good,1.098404,238.50068
good,1.103577,240.682449
good,1.108749,243.213049
good,1.113922,245.666123
good,1.119094,248.021217
good,1.124267,249.891452
good,1.129439,252.167544
good,1.134611,255.214248
good,1.139784,259.224199
good,1.144956,263.0028
good,1.150129,265.017795
good,1.155301,262.337781
good,1.160473,256.151752
good,1.165646,239.078424
good,1.170818,229.856952
good,1.175991,235.203707
good,1.181163,242.620041
good,1.186336,250.257402
good,1.191508,246.268542
good,1.19668,247.708456
good,1.201853,243.748724
good,1.207025,241.809818
good,1.212198,234.851645
good,1.21737,235.666665
good,1.222542,237.9679
good,1.227715,232.773185
good,1.232887,237.393068
good,1.23806,247.227869
pants,1.243354,242.888358
pants,1.248527,239.309418
pants,1.253699,245.065213
pants,1.258872,243.392676
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,1.403699,231.434062
pants,1.408872,232.740543
pants,1.414044,230.392076
pants,1.419217,221.785645
pants,1.424389,206.682877
pants,1.429561,206.043701
pants,1.434734,205.623614
pants,1.439906,206.536747
pants,1.445079,203.473557
pants,1.450251,200.531866
pants,1.455423,197.363245
pants,1.460596,196.795724
pants,1.465768,196.383634
pants,1.470941,194.656931
pants,1.476113,194.36585
pants,1.481285,192.792022
pants,1.486458,192.399909
pants,1.49163,190.956941
pants,1.496803,189.365282
pants,1.501975,189.034099
pants,1.507148,189.000913
pants,1.51232,188.722441
pants,1.517492,188.951859
pants,1.522665,187.629555
pants,1.527837,188.271665
pants,1.53301,188.363364
pants,1.538182,191.630472
pants,1.543354,189.989998
pants,1.548527,191.285816
pants,1.553699,192.298975
pants,1.558872,192.081883
pants,1.564044,193.085101
pants,1.569217,194.831665
pants,1.574389,194.796329
pants,1.579561,197.191767
pants,1.584734,200.518001
pants,1.589906,200.556898
pants,1.595079,200.904406
pants,1.600251,202.03831
pants,1.605423,201.376826
pants,1.610596,202.151671
pants,1.615768,201.838396
pants,1.620941,201.19715
pants,1.626113,204.079511
pants,1.631285,196.304417
pants,1.636458,196.214815
pants,1.64163,195.055318
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,1.736148,252.868058
look,1.741321,252.611989
look,1.746493,233.413574
look,1.751665,217.80525
look,1.756838,202.770016
look,1.76201,196.480998
look,1.767183,194.744935
look,1.772355,190.856588
look,1.777528,182.125928
look,1.7827,182.471392
look,1.787872,185.630805
look,1.793045,185.034652
look,1.798217,186.772582
look,1.80339,191.866773
look,1.808562,190.069449
look,1.813734,186.172329
look,1.818907,183.273436
look,1.824079,182.802541
look,1.829252,181.976504
look,1.834424,181.550686
look,1.839597,182.241856
look,1.844769,182.338872
look,1.849941,182.836889
look,1.855114,183.22408
look,1.860286,183.106164
look,1.865459,182.578538
look,1.870631,181.661751
look,1.875803,180.902197
look,1.880976,180.64719
look,1.886148,177.745797
look,1.891321,176.926931
look,1.896493,178.67277
look,1.901665,180.640851
look,1.906838,181.995366
look,1.91201,179.76136
look,1.917183,183.936599
look,1.922355,186.791342
look,1.927528,181.432803
look,1.9327,181.389296
look,1.937872,186.412792
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,2.031902,240.482957
great,2.037074,238.542611
great,2.042247,221.918827
great,2.047419,200.739195
great,2.052592,187.225594
great,2.057764,187.854559
great,2.062937,185.680611
great,2.068109,184.462408
great,2.073281,181.559529
great,2.078454,179.246877
great,2.083626,175.940632
great,2.088799,173.317405
great,2.093971,171.847015
great,2.099143,171.012283
great,2.104316,169.259179
great,2.109488,166.729468
great,2.114661,166.767549
great,2.119833,165.886063
great,2.125005,167.446178
great,2.130178,162.891321
great,2.13535,155.33318
great,2.140523,157.093562
great,2.145695,162.347376
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,2.161212,265.692723
great,2.166385,256.10685
great,2.171557,249.992044
great,2.17673,263.269425
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,2.207764,181.250762
great,2.212937,180.80305
great,2.218109,173.627169
great,2.223281,173.434158
great,2.228454,172.003896
great,2.233626,182.501293
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
